cid,firstname,lastname,wins,losses
PFUNDRA01 ,Randy,Pfund,67,82
PHILLAN01 ,Andy,Phillip,6,4
PITINRI01 ,Rick,Pitino,192,220
POLLAJI01 ,Jim,Pollard,32,87
POPOVGR01 ,Gregg,Popovich,736,362
PorteTe01 ,Terry,Porter,94,111
POTTERO01 ,Roger,Potter,1,6
PRITCKE01 ,Kevin,Pritchard,5,22
RAMBIKU01 ,Kurt,Rambis,39,80
RAMSAJA01 ,Jack,Ramsay,864,783
REEDWI01  ,Willis,Reed,82,124
REISECH01 ,Chuck,Reiser,8,22
REYNOJE01 ,Jerry,Reynolds,56,114
RILEYPA01 ,Pat,Riley,1210,694
RIVERDO01 ,Doc,Rivers,451,380
ROBERSC01 ,Scotty,Robertson,109,178
ROCHAEP01 ,Ephraim,Rocha,65,88
RODGEJI01 ,Jimmy,Rodgers,115,160
ROLFERO01 ,Robert,Rolfe,17,27
ROTHSRO01 ,Ron,Rothstein,117,293
RUBINRO01 ,Roy,Rubin,4,47
RUSSEBI01 ,Bill,Russell,341,290
RUSSEJO01 ,John,Russell,42,66
SACHSPH01 ,Philip,Sachs,8,18
SADOWED01 ,Ed,Sadowski,3,9
SANDETO01 ,Tom,Sanders,23,39
SAUNDFL01 ,Flip,Saunders,613,452
SCHAEHE01 ,Herm,Schaefer,62,75
SCHAUFR01 ,Fred,Schaus,315,245
SCHAYDO01 ,Dolph,Schayes,151,172
SCHULMI01 ,Mike,Schuler,180,160
SCHULHO01 ,Howie,Schultz,21,14
SCOLAFR01 ,Fred,Scolari,12,27
ScottBy01 ,Byron,Scott,352,355
SCOTTRA01 ,Ray,Scott,147,134
SENESGE01 ,George,Senesky,119,97
SEYMOPA01 ,Paul,Seymour,271,241
SHARMBI01 ,Bill,Sharman,333,240
SHIPPCH01 ,Charley,Shipp,8,27
SHUEGE01  ,Gene,Shue,784,861
SILASPA01 ,Paul,Silas,355,400
SKILESC01 ,Scott,Skiles,361,335
SloanJe01 ,Jerry,Sloan,1190,780
SMARTKE01 ,Keith,Smart,9,31
SMILEJA01 ,Jack,Smiley,11,16
SOARAL01  ,Albert,Soar,2,17
SpoelEr01 ,Erik,Spoelstra,90,74
STAVELA01 ,Larry,Staverman,18,27
STJEAGA01 ,Garry,StJean,172,278
STOTTTE01 ,Terry,Stotts,115,168
SUESEKE01 ,Ken,Suesens,22,40
TapscEd01 ,Ed,Tapscott,18,53
TARKAJE01 ,Jerry,Tarkanian,9,11
TheusRe01 ,Reggie,Theus,44,62
ThomaIs01 ,Isiah,Thomas,187,223
THORNRO01 ,Rod,Thorn,15,15
TODDJI01  ,Jim,Todd,4,33
TODDRO01  ,Rolland,Todd,41,97
TODORMI01 ,Mike,Todorovich,14,28
TOMJARU01 ,Rudy,Tomjanovich,527,416
TORMOGE01 ,Gene,Tormohlen,1,7
TrianJa01 ,Jay,Triano,65,82
UNSELWE01 ,Wes,Unseld,202,345
VanGuJe01 ,Jeff,Van Gundy,430,318
VANGUST01 ,Stan,Van Gundy,282,149
VANARDI01 ,Dick,VanArsdale,14,12
VANBRBI01 ,Bill,VanBredaKolff,266,256
VandeKi01 ,Kiki,Vandeweghe,12,52
VERSADI01 ,Dick,Versace,73,87
VinceSa01 ,Sam,Vincent,32,50
VITALDI01 ,Dick,Vitale,34,60
WALKEDA01 ,Darrell,Walker,56,113
WALSHDO01 ,Donnie,Walsh,60,82
WANZEBO01 ,Bob,Wanzer,98,136
WEISSBO01 ,Bob,Weiss,223,299
WESTJE01  ,Jerry,West,145,101
WESTHPA01 ,Paul,Westhead,183,224
WESTPPA01 ,Paul,Westphal,292,216
WETZEJO01 ,John,Wetzel,28,54
WILKELE01 ,Lenny,Wilkens,1332,1155
WILLIHE01 ,Herb,Williams,16,27
WINTETE01 ,Tex,Winter,91,120
WINTEBR01 ,Brian,Winters,36,148
WITTMRA01 ,Randy,Wittman,100,207
WOHLDA01  ,Dave,Wohl,65,114
WOLFCH01  ,Charles,Wolf,143,187
WoodsMi01 ,Mike,Woodson,193,217
WOODSMIK01,Mike,Woodson,13,69
YOUNGDR01 ,Draff,Young,0,3
