pid,year,team,leag,ppg,rpg,apg
SIEWERA01,1946,TOT,N,0,0,0.19047619

SIMMOCO01,1946,BOS,N,10.33333333,0,1.033333333

SIMMOJO01,1946,BOS,N,5.3,0,0.483333333

SMAWLBE01,1946,ST1,N,11.90909091,0,0.454545455

SMITHDE02,1946,ST1,N,1.520833333,0,0.125

SOVRAGI01,1946,TOR,N,1.833333333,0,0.166666667

SPECTAR01,1946,BOS,N,5.981818182,0,0.836363636

SPICELO01,1946,PRO,N,0,0,0

STOLKAR01,1946,DE1,N,4.434782609,0,1.652173913

STUTZST01,1946,NYK,N,7.95,0,0.816666667

SYDNOWA01,1946,CH1,N,0,0,0

TORGOIR01,1946,WSC,N,8.448275862,0,0.517241379

VANBRBU01,1946,NYK,N,1.5625,0,0.375

VAUGHVI01,1946,BOS,N,2.647058824,0,0.588235294

WALLAMI01,1946,BOS,N,5.458333333,0,0.833333333

WALLAMI01,1946,TOT,N,9.114754098,0,0.950819672

WALLAMI01,1946,TO1,N,11.48648649,0,1.027027027

WEBERFO01,1946,NYK,N,1.818181818,0,0.090909091

WEBERFO01,1946,PRO,N,3.923076923,0,0.076923077

WEBERFO01,1946,TOT,N,3.46,0,0.08

WERTIRA01,1946,TOT,N,3.508196721,0,0.639344262

WERTIRA01,1946,CL1,N,2.674418605,0,0.488372093

WERTIRA01,1946,TO1,N,5.5,0,1

ZASLOMA01,1946,CH1,N,14.37704918,0,0.655737705

ZELLEHA01,1946,PIT,N,7.541666667,0,0.645833333

ABRAMJO01,1947,TOT,N,0,0,0.222222222

ABRAMJO01,1947,SL1,N,0,0,0.25

ABRAMJO01,1947,BA1,N,0,0,0.2

BEENDHA01,1947,PH1,N,2.5,0,0.291666667

BEENDHA01,1947,PRO,N,6.80952381,0,0.285714286

BEENDHA01,1947,TOT,N,4.511111111,0,0.288888889

BLOOMMI01,1947,TOT,N,10.58333333,0,0.791666667

BLOOMMI01,1947,BA1,N,11.14705882,0,0.705882353

BLOOMMI01,1947,BOS,N,9.214285714,0,1

BRAUNCA01,1947,NYK,N,14.27659574,0,1.29787234

BROWNST01,1947,PH1,N,2.631578947,0,0.052631579

BYRNETO01,1947,NYK,N,6.361702128,0,0.361702128

CALVEER01,1947,PRO,N,11.89361702,0,2.531914894

CONNOCH01,1947,BOS,N,3,0,0.25

CROSSFR01,1947,PH1,N,1.820512821,0,0.512820513

DALLMHO01,1947,PH1,N,12.22916667,0,2.5

DOLLBO01,1947,ST1,N,10.61904762,0,0.619047619

DOWNEBI01,1947,PRO,N,0,0,0

EHLERED01,1947,BOS,N,7.15,0,1.1

EZERSJO01,1947,PRO,N,10.12,0,0.64

FEERIBO01,1947,WSC,N,16.14583333,0,1.166666667

FITZGDI01,1947,PRO,N,0,0,0

FLEISJE01,1947,PH1,N,7.239130435,0,0.934782609

FUETSHE01,1947,BA1,N,2.595238095,0,0.404761905

FULKSJO01,1947,PH1,N,22.06976744,0,0.604651163

GAINEEL01,1947,BA1,N,0,0,0.6

GARFIJA01,1947,BOS,N,6.11627907,0,1.372093023

GILMUCH01,1947,CH1,N,9.5625,0,1.604166667

GOODWWI01,1947,PRO,N,3.791666667,0,0.291666667

GOTTLLE01,1947,NYK,N,4.851851852,0,0.444444444

GRAYWY01,1947,PRO,N,0,0,0

GRAYWY01,1947,SL1,N,1.181818182,0,0.272727273

GRAYWY01,1947,TOT,N,1.083333333,0,0.25

HALBECH01,1947,TOT,N,9.826086957,0,0.695652174

HALBECH01,1947,PH1,N,10.525,0,0.75

HALBECH01,1947,CH1,N,5.166666667,0,0.333333333

HANKICE01,1947,BOS,N,2.8,0,0.32

HERMSCL01,1947,BA1,N,11.97916667,0,1

HERTZSI01,1947,NYK,N,1.25,0,0.25

HERTZSI01,1947,WSC,N,7.378378378,0,0.594594595

HERTZSI01,1947,TOT,N,6.780487805,0,0.56097561

HEWSOJA01,1947,BOS,N,2.708333333,0,0.041666667

HICKEMA01,1947,PRO,N,2,0,0

HILLHAR01,1947,PH1,N,5.272727273,0,0.272727273

HOEFEAD01,1947,BOS,N,1.428571429,0,0.428571429

